Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;Lektion;
Entschuldigung, gibt es hier ein freies Zimmer?;Duìbuqǐ, zhèlǐ yǒu kòng fángjiān ma?;;Duìbuqǐ, zhèlǐ yǒu kòng fángjiān ma?;Entschuldigung, gibt es hier ein freies Zimmer?;对不起，这里有空房间吗？;对不起，这里有空房间吗？;L05-D-01;L05
Ja, wollen Sie ein Einzelzimmer oder ein Doppelzimmer?;Shì, nín yào yīgè dān rén fáng háishì yīgè shuāngrén fáng?;;Shì, nín yào yīgè dān rén fáng háishì yīgè shuāngrén fáng?;Ja, wollen Sie ein Einzelzimmer oder ein Doppelzimmer?;是，您要一个单人房还是一个双人房？;是，您要一个单人房还是一个双人房？;L05-D-02;L05
Ich möchte ein Doppelzimmer.;Wǒ xiǎng yào yīgè shuāngrén fáng.;;Wǒ xiǎng yào yīgè shuāngrén fáng.;Ich möchte ein Doppelzimmer.;我想要一个双人房。;我想要一个双人房。;L05-D-03;L05
Wie viele Tage wollen Sie bleiben?;Nín xiǎng zhù jǐ tiān?;;Nín xiǎng zhù jǐ tiān?;Wie viele Tage wollen Sie bleiben?;您想住几天？;您想住几天？;L05-D-04;L05
Ich will zwei Tage bleiben, was kostet ein Tag?;Wǒ xiǎng zhù liǎng tiān, yī tiān duōshǎo qián?;;Wǒ xiǎng zhù liǎng tiān, yī tiān duōshǎo qián?;Ich will zwei Tage bleiben, was kostet ein Tag?;我想住两天，一天多少钱？;我想住两天，一天多少钱？;L05-D-05;L05
Eine Nacht kostet 340 Yuan.;Yī wǎn shí sānbǎi sìshí yuán.;;Yī wǎn shí sānbǎi sìshí yuán.;Eine Nacht kostet 340 Yuan.;一晚是三百四十元。;一晚是三百四十元。;L05-D-06;L05
So teuer, geht es ein bisschen günstiger?;Zhème guì, kěyǐ piányi yīdiǎn ma?;;Zhème guì, kěyǐ piányi yīdiǎn ma?;So teuer, geht es ein bisschen günstiger?;这么贵，可以便宜一点吗？;这么贵，可以便宜一点吗？;L05-D-07;L05
Es geht für 290 Yuan pro Tag, aber Sie müssen mindestens drei Tage bleiben.;Yī tiān èr bǎi jiǔ shí yuán kěyǐ, dànshì nín bìxū zhù sān tiān.;;Yī tiān èr bǎi jiǔ shí yuán kěyǐ, dànshì nín bìxū zhù sān tiān.;Es geht für 290 Yuan pro Tag, aber Sie müssen mindestens drei Tage bleiben.;一天二百九十元可以，但是您必须住三天。;一天二百九十元可以，但是您必须住三天。;L05-D-08;L05
In Ordnung, ich bleibe drei Tage, ein Tag kostet 290 Yuan.;Hǎo de, wǒ zhù sān tiān, yī tiān èr bǎi jiǔ shí yuán.;;Hǎo de, wǒ zhù sān tiān, yī tiān èr bǎi jiǔ shí yuán.;In Ordnung, ich bleibe drei Tage, ein Tag kostet 290 Yuan.;好的，我住三天，一天二百九十元。;好的，我住三天，一天二百九十元。;L05-D-09;L05
Bitte füllen Sie kurz das Formular aus.;Qǐng tián yīxià biǎogé.;;Qǐng tián yīxià biǎogé.;Bitte füllen Sie kurz das Formular aus.;请填一下表格。;请填一下表格。;L05-D-10;L05
Gut.;Hǎo.;;Hǎo.;Gut.;好。;好。;L05-D-11;L05
Das ist die Zimmerkarte von Zimmer 603, das Zimmer befindet sich im 5. Stock.;Zhè shì 603 fángjiān de fángjiān kǎ, fángjiān zài dì wǔ céng.;;Zhè shì 603 fángjiān de fángjiān kǎ, fángjiān zài dì wǔ céng.;Das ist die Zimmerkarte von Zimmer 603, das Zimmer befindet sich im 5. Stock.;这是603房间的房间卡，房间在第五层。;这是603房间的房间卡，房间在第五层。;L05-D-12;L05
Guten Tag! Ich möchte bezahlen, Zimmer 603.;Nǐ hǎo! Wǒ xiǎng zhīfù, 603 fángjiān.;;Nǐ hǎo! Wǒ xiǎng zhīfù, 603 fángjiān.;Guten Tag! Ich möchte bezahlen, Zimmer 603.;你好！我想支付，603房间。;你好！我想支付，603房间。;L05-D-13;L05
Sie haben vier Tage (hier) gewohnt, insgesamt 1160 Yuan.;Nín zhù le sì tiān, zǒnggòng yīqiān yībǎi liùshí yuán.;;Nín zhù le sì tiān, zǒnggòng yīqiān yībǎi liùshí yuán.;Sie haben vier Tage (hier) gewohnt, insgesamt 1160 Yuan.;您住了四天，总共一千一百六十元。;您住了四天，总共一千一百六十元。;L05-D-14;L05
Kann ich mit Euro bezahlen?;Wǒ kěyǐ yòng ōuyuán zhīfù ma?;;Wǒ kěyǐ yòng ōuyuán zhīfù ma?;Kann ich mit Euro bezahlen?;我可以用欧元支付吗？;我可以用欧元支付吗？;L05-D-15;L05
Entschuldigung, hier kann man nicht mit Euro bezahlen.;Duìbuqǐ, zhèlǐ bù néng yòng ōuyuán zhīfù.;;Duìbuqǐ, zhèlǐ bù néng yòng ōuyuán zhīfù.;Entschuldigung, hier kann man nicht mit Euro bezahlen.;对不起，这里不能用欧元支付。;对不起，这里不能用欧元支付。;L05-D-16;L05
Sie können mit Karte bezahlen.;Nín kěyǐ yòng kǎ zhīfù.;;Nín kěyǐ yòng kǎ zhīfù.;Sie können mit Karte bezahlen.;您可以用卡支付。;您可以用卡支付。;L05-D-17;L05
Gut. Das ist meine Karte. Entschuldigung, wo kann man Geld wechseln?;Hǎo. Zhè shì wǒ de kǎ. Duìbuqǐ, nǎlǐ kěyǐ huàn qián?;;Hǎo. Zhè shì wǒ de kǎ. Duìbuqǐ, nǎlǐ kěyǐ huàn qián?;Gut. Das ist meine Karte. Entschuldigung, wo kann man Geld wechseln?;好。这是我的卡。对不起，哪里可以换钱？;好。这是我的卡。对不起，哪里可以换钱？;L05-D-18;L05
Gibt es in der Nähe eine Bank?;Fùjìn yǒu yínháng ma?;;Fùjìn yǒu yínháng ma?;Gibt es in der Nähe eine Bank?;附近有银行吗？;附近有银行吗？;L05-D-19;L05
Schauen Sie, gegenüber gibt es einen Geldautomaten, dort können Sie Geld holen.;Kàn, duìmiàn yǒu yí gè zìdòng qǔkuǎnjī, nàlǐ kěyǐ qǔ qián.;;Kàn, duìmiàn yǒu yí gè zìdòng qǔkuǎnjī, nàlǐ kěyǐ qǔ qián.;Schauen Sie, gegenüber gibt es einen Geldautomaten, dort können Sie Geld holen.;看，对面有一个自动取款机，那里可以取钱。;看，对面有一个自动取款机，那里可以取钱。;L05-D-20;L05
Wie hoch ist der Wechselkurs von Euro zu Renminbi heute?;Jīntiān Ōuyuán dào rénmínbì de huìlǜ shì duōshǎo?;;Jīntiān Ōuyuán dào rénmínbì de huìlǜ shì duōshǎo?;Wie hoch ist der Wechselkurs von Euro zu Renminbi heute?;今天欧元到人民币的汇率是多少？;今天欧元到人民币的汇率是多少？;L05-D-21;L05
Heute ist der Kurs eins zu acht.;Jīntiān de huìlǜ shì yī dào bā.;;Jīntiān de huìlǜ shì yī dào bā.;Heute ist der Kurs eins zu acht.;今天的汇率是一到八。;今天的汇率是一到八。;L05-D-22;L05
Vielen Dank.;Fēicháng gǎnxiè.;;Fēicháng gǎnxiè.;Vielen Dank.;非常感谢。;非常感谢。;L05-D-23;L05
* Lektion 6;*Lektion 6;* Lektion 6;*Lektion 6;*Lektion 6;*Lektion 6;*Lektion 6;L06-1-00;L06
Getränk;yǐnliào;Nomen;Nǐ xǐhuān hē shénme yǐnliào?;Was für ein Getränk magst du?;饮料;你喜欢喝什么饮料？;L06-1-01;L06
Apfelsaft;píngguǒzhī;Nomen;Wǒ xiǎng yào yī bēi píngguǒ zhī.;Ich möchte ein Glas Apfelsaft.;苹果汁;我想要一杯苹果汁。;L06-1-02;L06
Kellner;fúwùyuán;Nomen;Fúwùyuán, qǐng gěi wǒ càidān.;Kellner, bitte geben Sie mir die Speisekarte.;服务员;服务员，请给我菜单。;L06-1-03;L06
Bier;píjiǔ;Nomen;Wǒ xiǎng hē yī píng píjiǔ.;Ich möchte eine Flasche Bier.;啤酒;我想喝一瓶啤酒。;L06-1-04;L06
Essen bestellen;diǎncài/diǎn;Verb;Wǒmen lái diǎn cài ba.;Lass uns bestellen.;点菜 /点;我们来点菜吧。;L06-1-05;L06
Essen;chīfàn/chī;Verb;Wǒmen qù chī fàn.;Wir gehen essen.;吃饭/吃;我们去吃饭。;L06-1-06;L06
sagen;gàosu;Verb;Qǐng gàosù wǒ nǐ shénme shíhòu lái.;Bitte sag mir, wann du kommst.;告诉;请告诉我你什么时候来。;L06-1-07;L06
Reis, Mahlzeit;fàn;Nomen;Zhè dùn fàn hěn hǎo chī.;Dieses Essen schmeckt gut.;饭;这顿饭很好吃。;L06-1-08;L06
grüner Tee;lǜchá;Nomen;Wǒ měitiān hē lǜchá.;Ich trinke jeden Tag grünen Tee.;绿茶;我每天喝绿茶。;L06-1-09;L06
Willkommen;huānyíng guānglín;Redewendung;Huānyíng guānglín wǒmen de cānguǎn!;Herzlich willkommen in unserem Restaurant!;欢迎光临;欢迎光临我们的餐馆！;L06-1-10;L06
willkommen heißen;huānyíng;Verb;Huānyíng nǐ lái wǒ de jiā.;Willkommen in meinem Haus.;欢迎;欢迎你来我的家。;L06-1-11;L06
Kaffee;kāfēi;Nomen;Wǒ xǐhuān hē kāfēi.;Ich mag es, Kaffee zu trinken.;咖啡;我喜欢喝咖啡。;L06-1-12;L06
Kanne;hú;Nomen;Qǐng gěi wǒ yī hú shuǐ.;Bitte geben Sie mir eine Kanne Wasser.;壶;请给我一壶水。;L06-1-13;L06
Mineralwasser;kuàngquánshuǐ;Nomen;Wǒ xiǎng yào kuàngquán shuǐ.;Ich möchte Mineralwasser.;矿泉水;我想要矿泉水。;L06-1-14;L06
mögen, gefallen;xǐhuān;Verb;Wǒ xǐhuān zhège dìfāng.;Ich mag diesen Ort.;喜欢;我喜欢这个地方。;L06-1-15;L06
Restaurant;cānguǎn;Nomen;Zhè jiā cānguǎn hěn bùcuò.;Dieses Restaurant ist ziemlich gut.;餐馆;这家餐馆很不错。;L06-1-16;L06
sitzen;zuò;Verb;Qǐng zuò.;Bitte setzen Sie sich.;坐;请坐。;L06-1-17;L06
sofort;mǎshàng;Adverb;Wǒ mǎshàng jiù lái.;Ich komme sofort.;马上;我马上就来。;L06-1-18;L06
Speisekarte;càidān;Nomen;Qǐng gěi wǒ càidān.;Bitte geben Sie mir die Speisekarte.;菜单;请给我菜单。;L06-1-19;L06
trinken;hē;Verb;Nǐ xiǎng hē shénme?;Was möchtest du trinken?;喝;你想喝什么？;L06-1-20;L06
Flasche;píng;Nomen;Qǐng gěi wǒ yī píng shuǐ.;Bitte geben Sie mir eine Flasche Wasser.;瓶;请给我一瓶水。;L06-1-21;L06
Sitzplatz, Position;wèi;Nomen;Wǒmen yǒu yī gè wèi zi.;Wir haben einen Platz.;位;我们有一个位子。;L06-1-22;L06
Tasse, Becher;bēi;Nomen;Qǐng gěi wǒ yī bēi lǜchá.;Bitte geben Sie mir eine Tasse grünen Tee.;杯;请给我一杯绿茶。;L06-1-23;L06
Rechnung zahlen;mǎidān;Redewendung;Qǐng gěi wǒ mǎidān.;Bitte bringen Sie mir die Rechnung.;买单;请给我买单。;L06-1-24;L06
gebraten;chǎo;Verb;Wǒ yào chǎo mǐfàn.;Ich möchte gebratenen Reis.;炒;我要炒米饭。;L06-1-25;L06
Stäbchen;kuàizi;Nomen;Qǐng gěi wǒ yī shuāng kuàizi.;Bitte geben Sie mir ein Paar Essstäbchen.;筷子;请给我一双筷子。;L06-1-26;L06
Familie, Zuhause;jiā;Nomen;Wǒ huídào jiā le.;Ich bin nach Hause gekommen.;家;我回到家了。;L06-1-27;L06
Fisch;yú;Nomen;Wǒ xǐhuān chī yú.;Ich esse gerne Fisch.;鱼;我喜欢吃鱼。;L06-1-28;L06
Fleisch;ròu;Nomen;Zhè ròu hěn hǎo chī.;Dieses Fleischgericht schmeckt gut.;肉;这肉很好吃。;L06-1-29;L06
Frühlingsrolle;chūnjuǎn;Nomen;Wǒ xiǎng yào chūnjuǎn.;Ich möchte Frühlingsrollen.;春卷;我想要春卷。;L06-1-30;L06
geben;gěi;Verb;Wǒ gěi nǐ yī běn shū.;Ich gebe dir ein Buch.;给;我给你一本书。;L06-1-31;L06
Reis;mǐfàn/mǐ;Nomen;Wǒ xiǎng yào yī wǎn mǐfàn.;Ich möchte eine Schüssel Reis.;米饭/米;我想要一碗米饭。;L06-1-32;L06
Gemüse;shūcài;Nomen;Duō chī yīxiē shūcài.;Iss mehr Gemüse.;蔬菜;多吃一些蔬菜。;L06-1-33;L06
gebratene Ente;kǎoyā;Nomen;Wǒ ài chī kǎoyā.;Ich liebe Pekingente.;烤鸭;我爱吃烤鸭。;L06-1-34;L06
innen;lǐ;Präposition;Wǒ zài jiālǐ.;Ich bin zu Hause.;里;我在家里。;L06-1-35;L06
langsam;màn;Adjektiv;Qǐng màn yīdiǎn.;Bitte etwas langsamer.;慢;请慢一点。;L06-1-36;L06
Prost;gānbēi;Redewendung;Ràng wǒmen gānbēi!;Lass uns anstoßen!;干杯;让我们干杯！;L06-1-37;L06
Rindfleisch;niúròu;Nomen;Wǒ xiǎng yào niúròu.;Ich möchte Rindfleisch.;牛肉;我想要牛肉。;L06-1-38;L06
sauer;suān;Adjektiv;Zhège cài yǒudiǎn suān.;Dieses Gericht ist ein bisschen sauer.;酸;这个菜有点酸。;L06-1-39;L06
scharf;là;Adjektiv;Wǒ xǐhuān là de shíwù.;Ich mag scharfes Essen.;辣;我喜欢辣的食物。;L06-1-40;L06
Schüssel;wǎn;Nomen;Qǐng gěi wǒ yī wǎn tāng.;Bitte geben Sie mir eine Schüssel Suppe.;碗;请给我一碗汤。;L06-1-41;L06
Gericht, Gemüse;cài;Nomen;Jīntiān de cài hěn hǎo.;Das Gericht heute ist gut.;菜;今天的菜很好。;L06-1-42;L06
Suppe;tāng;Nomen;Wǒ xiǎng hē tāng.;Ich möchte Suppe trinken.;汤;我想喝汤。;L06-1-43;L06
wie, wie ist es;zěnme/zěnmeyàng;Fragewort;Nǐ jīntiān zěnme yàng?;Wie geht es dir heute?;怎么/怎么样;你今天怎么样？;L06-1-44;L06
Portion;fèn;Nomen;Wǒ xiǎng yào yī fèn zhège cài.;Ich möchte eine Portion von diesem Gemüse.;份;我想要一份这个菜。;L06-1-45;L06
* Lektion 6 Frage/Antwort;*Lektion 6 Frage/Antwort;* Lektion 6 Frage/Antwort;*Lektion 6 Frage/Antwort;*Lektion 6 Frage/Antwort;*Lektion 6 Frage/Antwort;*Lektion 6 Frage/Antwort;L06-F-00;L06
Getränk;yǐnliào;Nomen;Nǐ xiǎng hē shénme yǐnliào? / Wǒ xiǎng hē kāfēi.;Was möchtest du trinken? / Ich möchte Kaffee trinken.;饮料;你想喝什么饮料？ / 我想喝咖啡。;L06-F-01;L06
Getränk;yǐnliào;Nomen;Zhè shì shénme yǐnliào? / Zhè shì lǜchá.;Was ist das für ein Getränk? / Das ist grüner Tee.;饮料;这是什么饮料？ / 这是绿茶。;L06-F-02;L06
Apfelsaft;píngguǒ zhī;Nomen;Nǐ yǒu píngguǒ zhī ma? / Yǒu, wǒmen yǒu píngguǒ zhī.;Hast du Apfelsaft? / Ja, wir haben Apfelsaft.;苹果汁;你有苹果汁吗？ / 有，我们有苹果汁。;L06-F-03;L06
Apfelsaft;píngguǒ zhī;Nomen;Nǐ xǐhuān hē píngguǒ zhī ma? / Wǒ xǐhuān hē píngguǒ zhī.;Magst du Apfelsaft? / Ich mag Apfelsaft.;苹果汁;你喜欢喝苹果汁吗？ / 我喜欢喝苹果汁。;L06-F-04;L06
Kellner/in;fúwùyuán;Nomen;Fúwùyuán zài nǎr? / Tā zài nàbiān.;Wo ist der Kellner? / Er ist dort drüben.;服务员;服务员在哪儿？ / 他在那边。;L06-F-05;L06
Kellner/in;fúwùyuán;Nomen;Kěyǐ jiào fúwùyuán ma? / Kěyǐ, wǒ mǎshàng jiào tā.;Kannst du den Kellner rufen? / Ja, ich rufe ihn sofort.;服务员;可以叫服务员吗？ / 可以，我马上叫他。;L06-F-06;L06
Bier;píjiǔ;Nomen;Nǐ xiǎng hē píjiǔ ma? / Wǒ xiǎng hē píjiǔ.;Möchtest du Bier trinken? / Ich möchte Bier trinken.;啤酒;你想喝啤酒吗？ / 我想喝啤酒。;L06-F-07;L06
Bier;píjiǔ;Nomen;Zhè shì shénme píjiǔ? / Zhè shì déguó píjiǔ.;Was ist das für ein Bier? / Das ist deutsches Bier.;啤酒;这是什么啤酒？ / 这是德国啤酒。;L06-F-08;L06
Essen bestellen;diǎn cài / diǎn;Verb;Nǐ diǎn cài le ma? / Wǒ hái méi diǎn cài.;Hast du das Essen bestellt? / Ich habe noch nicht bestellt.;点菜 / 点;你点菜了吗？ / 我还没点菜。;L06-F-09;L06
Essen bestellen;diǎn cài / diǎn;Verb;Nǐ xiǎng diǎn shénme cài? / Wǒ xiǎng diǎn kǎoyā.;Was möchtest du bestellen? / Ich möchte Pekingente bestellen.;点菜 / 点;你想点什么菜？ / 我想点烤鸭。;L06-F-10;L06
essen;chīfàn / chī;Verb;Nǐ chīfàn le ma? / Wǒ chīguò le.;Hast du gegessen? / Ich habe schon gegessen.;吃饭 / 吃;你吃饭了吗？ / 我吃过了。;L06-F-11;L06
essen;chīfàn / chī;Verb;Wǒmen jǐ diǎn chīfàn? / Wǒmen qī diǎn chīfàn.;Wann essen wir? / Wir essen um sieben Uhr.;吃饭 / 吃;我们几点吃饭？ / 我们七点吃饭。;L06-F-12;L06
sagen / erzählen;gàosu;Verb;Nǐ néng gàosu wǒ ma? / Wǒ néng gàosu nǐ.;Kannst du es mir sagen? / Ich kann es dir sagen.;告诉;你能告诉我吗？ / 我能告诉你。;L06-F-13;L06
sagen / erzählen;gàosu;Verb;Tā gàosu nǐ shénme le? / Tā gàosu wǒ tā jīntiān hěn máng.;Was hat er dir gesagt? / Er hat mir gesagt, dass er heute beschäftigt ist.;告诉;他告诉你什么了？ / 他告诉我他今天很忙。;L06-F-14;L06
Reis, Mahlzeit;fàn;Nomen;Nǐ chī fàn le ma? / Wǒ chīle.;Hast du gegessen? / Ich habe gegessen.;饭;你吃饭了吗？ / 我吃了。;L06-F-15;L06
grüner Tee;lǜchá;Nomen;Nǐ xǐhuān hē lǜchá ma? / Wǒ xǐhuān hē lǜchá.;Magst du grünen Tee? / Ich mag grünen Tee.;绿茶;你喜欢喝绿茶吗？ / 我喜欢喝绿茶。;L06-F-16;L06
Willkommen;huānyíng guānglín;Redewendung;Nǐmen huānyíng guānglín ma? / Huānyíng guānglín!;Heißt ihr die Gäste willkommen? / Herzlich willkommen!;欢迎光临;你们欢迎光临吗？ / 欢迎光临！;L06-F-17;L06
willkommen heißen;huānyíng;Verb;Nǐ huì shuō huānyíng ma? / Dāngrán!;Kannst du 'Willkommen' sagen? / Natürlich!;欢迎;你会说欢迎吗？ / 当然！;L06-F-18;L06
Kaffee;kāfēi;Nomen;Nǐ hē kāfēi ma? / Wǒ hē kāfēi.;Trinkst du Kaffee? / Ich trinke Kaffee.;咖啡;你喝咖啡吗？ / 我喝咖啡。;L06-F-19;L06
Kanne;hú;Nomen;Zhè hú chá shì shénme? / Zhè shì lǜchá.;Was ist in dieser Teekanne? / Das ist grüner Tee.;壶;这壶茶是什么？ / 这是绿茶。;L06-F-20;L06
Mineralwasser;kuàngquánshuǐ;Nomen;Nǐ yào kuàngquán shuǐ ma? / Wǒ yào kuàngquán shuǐ.;Möchtest du Mineralwasser? / Ich möchte Mineralwasser.;矿泉水;你要矿泉水吗？ / 我要矿泉水。;L06-F-21;L06
mögen, gefallen;xǐhuān;Verb;Nǐ xǐhuān zhège ma? / Wǒ xǐhuān zhège.;Magst du das? / Ich mag das.;喜欢;你喜欢这个吗？ / 我喜欢这个。;L06-F-22;L06
Restaurant;cānguǎn;Nomen;Fùjìn yǒu cānguǎn ma? / Yǒu, nàlǐ yǒu yījiā.;Gibt es ein Restaurant in der Nähe? / Ja, dort gibt es ein Restaurant.;餐馆;附近有餐馆吗？ / 有，那里有一家。;L06-F-23;L06
sitzen;zuò;Verb;Nǐ néng zuò ma? / Wǒ néng zuò.;Kannst du sitzen? / Ich kann sitzen.;坐;你能坐吗？ / 我能坐。;L06-F-24;L06
sofort;mǎshàng;Adverb;Nǐ mǎshàng lái ma? / Wǒ mǎshàng lái.;Kommst du sofort? / Ich komme sofort.;马上;你马上来吗？ / 我马上来。;L06-F-25;L06
Speisekarte;càidān;Nomen;Nǐ kàn càidān le ma? / Wǒ kàn guò càidān.;Hast du die Speisekarte gelesen? / Ich habe die Speisekarte gesehen.;菜单;你看菜单了吗？ / 我看过菜单。;L06-F-26;L06
trinken;hē;Verb;Nǐ xiǎng hē shénme? / Wǒ xiǎng hē shuǐ.;Was möchtest du trinken? / Ich möchte Wasser trinken.;喝;你想喝什么？ / 我想喝水。;L06-F-27;L06
Flasche;píng;Nomen;Zhè píng jiǔ shì nǎlǐ de? / Zhè shì fàguó de.;Woher kommt diese Flasche Wein? / Die ist aus Frankreich.;瓶;这瓶酒是哪里的？ / 这是法国的。;L06-F-28;L06
Sitzplatz, Position;wèi;Nomen;Nǐmen yǒu wèi zi ma? / Yǒu, wǒmen yǒu yī gè wèi zi.;Habt ihr Plätze frei? / Ja, wir haben einen Platz.;位;你们有位子吗？ / 有，我们有一个位子。;L06-F-29;L06
Tasse, Becher;bēi;Nomen;Nǐ yào jǐ bēi? / Wǒ yào liǎng bēi.;Wie viele Tassen möchtest du? / Ich möchte zwei Tassen.;杯;你要几杯？ / 我要两杯。;L06-F-30;L06
Rechnung zahlen;mǎidān;Redewendung;Nǐ huì bāng wǒ mǎidān ma? / Dāngrán kěyǐ!;Kannst du die Rechnung für mich übernehmen? / Natürlich kann ich!;买单;你会帮我买单吗？ / 当然可以！;L06-F-31;L06
gebraten;chǎo;Verb;Nǐ huì chǎo cài ma? / Wǒ huì chǎo cài.;Kannst du kochen? / Ich kann kochen.;炒;你会炒菜吗？ / 我会炒菜。;L06-F-32;L06
Stäbchen;kuàizi;Nomen;Nǐ huì yòng kuàizi ma? / Wǒ huì yòng kuàizi.;Kannst du Essstäbchen benutzen? / Ich kann Essstäbchen benutzen.;筷子;你会用筷子吗？ / 我会用筷子。;L06-F-33;L06
Familie, Zuhause;jiā;Nomen;Nǐ jiā zài nǎlǐ? / Wǒ jiā zài zhèr.;Wo ist dein Zuhause? / Mein Zuhause ist hier.;家;你家在哪里？ / 我家在这儿。;L06-F-34;L06
Fisch;yú;Nomen;Nǐ xǐhuān chī yú ma? / Wǒ xǐhuān chī yú.;Magst du Fisch? / Ich esse gerne Fisch.;鱼;你喜欢吃鱼吗？ / 我喜欢吃鱼。;L06-F-35;L06
Fleisch;ròu;Nomen;Zhè dào ròu hǎo chī ma? / Hěn hǎo chī.;Schmeckt das Fleisch gut? / Es schmeckt sehr gut.;肉;这道肉好吃吗？ / 很好吃。;L06-F-36;L06
Frühlingsrolle;chūnjuǎn;Nomen;Nǐ xǐhuān chūnjuǎn ma? / Wǒ xǐhuān chūnjuǎn.;Magst du Frühlingsrollen? / Ich mag Frühlingsrollen.;春卷;你喜欢春卷吗？ / 我喜欢春卷。;L06-F-37;L06
geben;gěi;Verb;Nǐ néng gěi wǒ ma? / Wǒ néng gěi nǐ.;Kannst du mir das geben? / Ich kann es dir geben.;给;你能给我吗？ / 我能给你。;L06-F-38;L06
Reis;mǐfàn/mǐ;Nomen;Nǐ chī mǐfàn ma? / Wǒ chī mǐfàn.;Isst du Reis? / Ich esse Reis.;米饭/米;你吃米饭吗？ / 我吃米饭。;L06-F-39;L06
Gemüse;shūcài;Nomen;Nǐ chī shūcài ma? / Wǒ chī hěn duō shūcài.;Isst du Gemüse? / Ich esse viel Gemüse.;蔬菜;你吃蔬菜吗？ / 我吃很多蔬菜。;L06-F-40;L06
gebratene Ente;kǎoyā;Nomen;Nǐ xǐhuān kǎoyā ma? / Wǒ xǐhuān kǎoyā.;Magst du Pekingente? / Ich mag Pekingente.;烤鸭;你喜欢烤鸭吗？ / 我喜欢烤鸭。;L06-F-41;L06
innen;lǐ;Präposition;Nǐ zhù zài nǎlǐ? / Wǒ zhù zài zhèlǐ.;Wo wohnst du? / Ich wohne hier.;里;你住在哪里？ / 我住在这里。;L06-F-42;L06
langsam;màn;Adjektiv;Nǐ zǒu de màn ma? / Wǒ zǒu de màn.;Gehst du langsam? / Ich gehe langsam.;慢;你走得慢吗？ / 我走得慢。;L06-F-43;L06
Prost;gānbēi;Redewendung;Wǒmen gānbēi ba! / Hǎo! Gānbēi!;Stoßen wir an? / Gut! Prost!;干杯;我们干杯吧！ / 好！干杯！;L06-F-44;L06
Rindfleisch;niúròu;Nomen;Nǐ chī niúròu ma? / Wǒ chī niúròu.;Isst du Rindfleisch? / Ich esse Rindfleisch.;牛肉;你吃牛肉吗？ / 我吃牛肉。;L06-F-45;L06
sauer;suān;Adjektiv;Zhège cài suān ma? / Yǒudiǎn suān.;Ist dieses Gericht sauer? / Es ist ein bisschen sauer.;酸;这个菜酸吗？ / 有点酸。;L06-F-46;L06
scharf;là;Adjektiv;Zhège cài là ma? / Fēicháng là.;Ist dieses Gericht scharf? / Es ist sehr scharf.;辣;这个菜辣吗？ / 非常辣。;L06-F-47;L06
Schüssel;wǎn;Nomen;Qǐng gěi wǒ yī wǎn tāng. / Zhèlǐ yǒu yī wǎn tāng.;Gib mir bitte eine Schüssel Suppe. / Hier ist eine Schüssel Suppe.;碗;请给我一碗汤。 / 这里有一碗汤。;L06-F-48;L06
Gericht, Gemüse;cài;Nomen;Nǐ xǐhuān zhège cài ma? / Wǒ xǐhuān zhège cài.;Magst du dieses Gericht? / Ich mag dieses Gericht.;菜;你喜欢这个菜吗？ / 我喜欢这个菜。;L06-F-49;L06
Suppe;tāng;Nomen;Nǐ xǐhuān hē tāng ma? / Wǒ xǐhuān hē tāng.;Magst du Suppe? / Ich mag Suppe.;汤;你喜欢喝汤吗？ / 我喜欢喝汤。;L06-F-50;L06
wie, wie ist es;zěnme/zěnmeyàng;Fragewort;Nǐ jīntiān zěnme yàng? / Wǒ hěn hǎo, xièxiè!;Wie geht es dir heute? / Mir geht es gut, danke!;怎么/怎么样;你今天怎么样？ / 我很好，谢谢！;L06-F-51;L06
Portion;fèn;Nomen;Nǐ yào jǐ fèn? / Wǒ yào sān fèn.;Wie viele Portionen möchtest du? / Ich möchte drei Portionen.;份;你要几份？ / 我要三份。;L06-F-52;L06
* Lektion 7;*Lektion 7;* Lektion 7;*Lektion 7;*Lektion 7;*Lektion 7;*Lektion 7;L07-1-00;L07
ältere Schwester;jiějie;Nomen;Tā shì wǒ de jiějie.;Sie ist meine ältere Schwester.;姐姐;她是我的姐姐。;L07-1-01;L07
älterer Bruder;gēge;Nomen;Tā shì wǒ de gēge.;Er ist mein älterer Bruder.;哥哥;他是我的哥哥。;L07-1-02;L07
Ehefrau;qīzi;Nomen;Érzi hé tā de qīzi zhù zài…;Mein Sohn und seine Frau wohnen …;妻子;儿子和他的妻子住在……;L07-1-03;L07
Ehemann;zhàngfū;Nomen;Nà shì wǒ de zhàngfu.;Das ist mein Ehemann.;丈夫;那是我的丈夫。;L07-1-04;L07
Familie, Zuhause;jiā;Nomen;Wǒ jiā yǒu wǔ kǒu rén.;Meine Familie hat fünf Mitglieder.;家;我家有五口人。;L07-1-05;L07
groß;dà;Adjektiv;Tā jīnnián èrshísì suì, jiéhūn le, yǒu yí gè háizi.;Sie ist dieses Jahr 24, verheiratet und hat ein Kind.;大;她今年二十四岁，结婚了，有一个孩子。;L07-1-06;L07
heiraten;jiéhūn;Verb;Tā jīnnián èrshísì suì, jiéhūn le, yǒu yí gè háizi.;Sie ist dieses Jahr 24, verheiratet und hat ein Kind.;结婚;她今年二十四岁，结婚了，有一个孩子。;L07-1-07;L07
